20210820,364.8400000,367.9200000,364.5200000,367.5100000
20210823,368.5800000,373.7200000,368.5700000,373.0100000
20210824,373.6200000,374.7700000,373.1400000,374.1500000
20210825,374.4100000,375.1700000,373.6400000,374.5800000
20210826,373.7000000,374.4000000,371.7500000,372.2000000
20210827,372.8500000,376.3400000,372.3500000,375.8200000
20210830,376.6300000,380.5400000,376.6100000,380.0400000
20210831,380.2900000,380.3600000,378.1400000,379.7300000
20210901,380.8200000,382.4900000,380.1500000,380.3600000
20210902,381.7500000,382.0900000,378.9300000,380.1800000
20210903,379.0000000,381.7600000,378.9800000,381.3500000
20210907,381.4600000,382.5600000,380.2700000,381.8900000
20210908,381.7100000,381.7100000,378.2300000,380.5600000
20210909,380.7900000,381.9300000,379.0000000,379.2500000
20210910,381.0100000,381.7500000,376.0300000,376.3700000
20210913,378.7700000,379.2100000,374.0000000,376.1100000
20210914,377.6400000,378.3900000,374.0600000,375.0400000
20210915,375.5100000,378.1900000,373.1500000,377.8300000
20210916,376.4600000,378.6800000,374.4800000,378.0900000
20210917,377.6000000,377.6500000,372.5400000,373.6100000
20210920,367.2400000,369.0300000,360.7100000,365.4800000
20210921,367.3600000,368.5900000,364.7700000,365.9300000
20210922,366.8700000,370.8500000,365.7400000,369.3500000
20210923,370.5400000,373.8200000,369.8800000,372.7600000
20210924,370.4300000,373.5400000,370.0500000,373.1100000
20210927,369.9800000,371.0400000,367.5100000,370.1300000
20210928,365.4500000,366.1400000,359.1300000,359.6500000
20210929,360.9500000,363.1500000,358.4200000,359.0600000
20210930,360.7500000,362.4600000,357.3500000,357.7400000
20211001,358.3800000,361.0300000,354.1600000,359.9600000
20211004,358.3000000,358.6400000,350.1000000,352.4000000
20211005,353.4900000,359.4700000,353.2600000,357.1600000
20211006,353.8600000,359.7300000,352.9300000,359.4500000
20211007,362.5800000,365.4700000,362.0300000,362.7500000
20211008,363.8600000,364.1000000,360.3900000,360.9400000
20211011,359.3600000,362.9800000,358.0800000,358.1700000
20211012,359.6600000,360.1100000,356.2600000,356.9200000
20211013,359.2900000,360.4700000,357.2100000,359.7800000
20211014,363.4700000,366.6300000,362.7900000,366.4100000
20211015,367.6600000,368.8400000,366.6000000,368.7200000
20211018,367.3900000,372.6500000,366.7700000,372.4300000
20211019,373.5300000,375.3000000,372.4800000,375.2500000
20211020,375.7200000,376.3500000,373.2400000,374.7600000
20211021,373.9400000,377.2500000,373.6300000,377.0500000
20211022,375.7600000,376.7500000,372.1700000,373.8800000
20211025,375.3400000,378.6500000,373.3400000,377.7100000
20211026,379.9800000,382.4900000,377.6900000,378.9000000
20211027,379.3600000,382.9300000,379.0900000,379.7800000
20211028,381.7300000,384.2600000,380.9400000,384.0000000
20211029,380.8400000,386.0600000,380.4800000,385.8900000
20211101,386.3400000,387.3400000,384.2000000,387.2100000
20211102,386.5800000,389.3200000,386.5300000,388.8300000
20211103,389.3300000,393.3900000,388.2600000,392.9600000
20211104,394.2600000,398.9800000,393.7000000,398.0000000
20211105,399.8200000,400.7700000,396.9400000,398.3800000
20211108,398.3500000,399.4000000,397.1800000,397.8400000
20211109,398.9400000,399.3500000,393.7000000,395.1000000
20211110,392.2500000,395.1400000,387.3100000,389.2900000
20211111,392.3500000,392.5300000,390.0200000,390.3700000
20211112,391.5500000,395.0300000,389.9100000,394.4800000
20211115,395.6900000,396.0200000,391.8800000,394.3900000
20211116,393.6400000,397.7100000,393.4400000,397.2000000
20211117,397.5300000,399.5000000,396.4200000,397.4100000
20211118,399.5100000,402.0500000,397.2300000,401.5300000
20211119,403.2100000,405.0800000,402.3600000,403.7700000
20211122,405.3500000,408.4900000,398.9700000,399.0800000
20211123,397.8900000,400.0100000,392.7000000,397.2600000
20211124,394.7100000,398.8300000,392.3200000,398.5400000
20211126,395.8900000,397.3200000,389.5500000,390.9800000
20211129,395.6700000,400.5100000,394.9200000,399.4700000
20211130,398.5600000,400.9700000,391.5300000,393.6000000
20211201,398.0600000,400.2600000,386.4200000,386.9000000
20211202,385.5800000,391.5200000,384.1200000,389.6900000
20211203,391.0900000,392.1200000,378.6800000,382.9100000
20211206,383.4100000,387.3800000,379.0800000,385.9800000
20211207,392.8100000,398.2400000,392.7700000,397.6100000
20211208,397.9500000,399.6000000,396.0000000,399.3900000
20211209,398.1300000,399.9800000,393.3100000,393.5100000
20211210,396.4000000,398.0600000,393.1400000,397.7900000
