"Date","Time","Open","High","Low","Close","Up","Down"
04/25/2025,11:15,52.04,52.87,51.48,52.60,18514501,18410332
04/25/2025,13:30,52.60,54.07,52.10,54.02,13104262,12672032
04/25/2025,15:45,54.01,54.04,52.60,53.45,13337820,14608596
04/25/2025,16:00,53.45,53.99,53.29,53.87,2919305,2503463
04/28/2025,11:15,53.96,54.64,52.80,53.13,16579411,16912267
04/28/2025,13:30,53.14,53.14,51.64,51.76,11477376,12479800
04/28/2025,15:45,51.77,53.83,51.69,53.76,11377850,10277227
04/28/2025,16:00,53.76,54.27,53.75,53.83,2464185,2441551
04/29/2025,11:15,53.21,54.57,52.64,54.12,14693233,14883857
04/29/2025,13:30,54.12,54.49,53.40,54.11,9480089,10267121
04/29/2025,15:45,54.11,55.17,54.08,54.72,10130281,10058471
04/29/2025,16:00,54.71,55.12,54.63,54.83,2164465,1965052
04/30/2025,11:15,51.86,52.84,50.32,52.71,22829530,23308176
04/30/2025,13:30,52.71,53.39,52.26,53.26,14733040,14542956
04/30/2025,15:45,53.25,54.30,53.17,53.92,12881344,12377817
04/30/2025,16:00,53.93,55.42,53.92,55.08,4938254,4200656
05/01/2025,11:15,57.43,58.64,56.70,58.62,18670575,17343855
05/01/2025,13:30,58.63,58.89,57.08,57.83,12478227,13646350
05/01/2025,15:45,57.83,58.23,57.34,57.67,8688480,8321228
05/01/2025,16:00,57.66,57.99,56.63,56.73,2464206,2859705
05/02/2025,11:15,58.70,59.40,58.03,59.32,18087281,17476181
05/02/2025,13:30,59.31,60.11,58.91,59.64,13025442,12188128
05/02/2025,15:45,59.63,60.19,59.37,59.59,9037250,9021859
05/02/2025,16:00,59.60,59.69,59.15,59.43,2319977,2729737
05/05/2025,11:15,57.84,58.86,57.70,58.67,14052428,13833515
05/05/2025,13:30,58.67,59.12,58.41,58.99,7283343,6398737
05/05/2025,15:45,58.98,59.50,58.70,58.79,6938721,7635063
05/05/2025,16:00,58.78,58.79,58.21,58.38,2029677,2120080
05/06/2025,11:15,56.44,57.28,55.57,57.05,14968272,14443228
05/06/2025,13:30,57.06,58.04,56.61,56.81,10144343,10788837
05/06/2025,15:45,56.81,57.55,56.41,57.48,7150241,7075225
05/06/2025,16:00,57.49,57.58,56.71,56.74,1662709,1875322
05/07/2025,11:15,57.26,57.64,56.03,56.14,13721759,14446526
05/07/2025,13:30,56.14,57.16,56.02,56.96,8454345,8653625
05/07/2025,15:45,56.95,58.26,55.09,57.68,19076866,19170237
05/07/2025,16:00,57.67,58.07,56.45,57.43,3552445,3453745
05/08/2025,11:15,59.31,59.38,57.66,58.57,14901971,16137767
05/08/2025,13:30,58.56,60.71,58.51,60.39,16762555,15102552
05/08/2025,15:45,60.40,60.65,59.84,60.00,7787622,7817511
05/08/2025,16:00,60.01,60.01,59.03,59.12,2203125,2765760
05/09/2025,11:15,59.84,60.27,58.33,59.17,14429320,15614165
05/09/2025,13:30,59.17,59.33,58.34,58.73,8461556,8971755
05/09/2025,15:45,58.72,59.42,58.58,59.20,6503732,6680634
05/09/2025,16:00,59.20,59.28,58.94,59.00,1381022,1435793
05/12/2025,11:15,65.83,66.02,63.85,64.74,20283124,19563239
