"Date","Time","Open","High","Low","Close","Up","Down"
05/23/2025,09:45,65.10,66.09,64.86,65.64,5416026,5734010
05/23/2025,10:00,65.65,65.68,65.03,65.47,3333078,3398332
05/23/2025,10:15,65.48,66.47,65.42,66.26,3583096,3413658
05/23/2025,10:30,66.25,66.43,65.70,65.99,2248316,2279207
05/23/2025,10:45,66.01,66.42,65.91,66.21,1574409,1607955
05/23/2025,11:00,66.21,66.42,65.66,65.69,1667716,1822178
05/23/2025,11:15,65.70,66.07,65.55,65.74,1563781,1841151
05/23/2025,11:30,65.74,66.20,65.44,66.16,1663700,1579713
05/23/2025,11:45,66.14,66.61,66.10,66.40,1638109,1423540
05/23/2025,12:00,66.40,66.45,65.91,65.93,971307,1248219
05/23/2025,12:15,65.92,66.29,65.76,66.01,1380011,1564713
05/23/2025,12:30,66.01,66.40,65.91,66.22,1364178,950802
05/23/2025,12:45,66.23,66.41,65.93,66.34,808441,725694
05/23/2025,13:00,66.34,66.59,66.31,66.38,839660,724222
05/23/2025,13:15,66.38,66.88,66.27,66.80,1124095,913337
05/23/2025,13:30,66.79,67.25,66.77,67.22,1282356,1041322
05/23/2025,13:45,67.21,67.21,66.73,66.86,933294,1170722
05/23/2025,14:00,66.86,67.23,66.78,67.05,926652,875968
05/23/2025,14:15,67.06,67.34,66.99,67.23,943711,829408
05/23/2025,14:30,67.21,67.34,66.61,66.91,1966747,2177404
05/23/2025,14:45,66.90,67.19,66.88,66.98,696499,757172
05/23/2025,15:00,66.98,67.08,66.73,66.91,828940,737358
05/23/2025,15:15,66.91,67.20,66.63,67.10,1020480,1004916
05/23/2025,15:30,67.09,67.10,66.42,66.67,1018067,1346494
05/23/2025,15:45,66.66,67.05,66.59,66.93,1128235,1049053
05/23/2025,16:00,66.93,66.97,66.13,66.31,2513573,2595652
05/27/2025,09:45,68.98,69.24,68.39,68.84,3240237,3758694
05/27/2025,10:00,68.84,69.36,68.80,69.33,2381233,1869725
05/27/2025,10:15,69.35,70.01,69.33,69.84,2989164,1986824
05/27/2025,10:30,69.85,70.16,69.83,70.03,1347881,1429225
05/27/2025,10:45,70.04,70.18,69.92,70.05,1063694,1103221
05/27/2025,11:00,70.05,70.21,69.84,69.90,839644,903373
05/27/2025,11:15,69.90,70.13,69.87,70.12,727183,638497
05/27/2025,11:30,70.11,70.32,70.00,70.22,978450,815338
05/27/2025,11:45,70.22,70.26,70.02,70.18,575886,508744
05/27/2025,12:00,70.18,70.37,70.14,70.32,741921,580783
05/27/2025,12:15,70.32,70.48,70.28,70.45,759978,674927
05/27/2025,12:30,70.45,70.55,70.41,70.42,647782,692154
05/27/2025,12:45,70.42,70.87,70.41,70.74,1207828,930364
05/27/2025,13:00,70.74,70.77,70.59,70.60,594727,710608
05/27/2025,13:15,70.60,70.80,70.60,70.76,594059,508675
05/27/2025,13:30,70.76,70.95,70.74,70.84,720581,616465
05/27/2025,13:45,70.83,70.90,70.73,70.87,430941,531419
05/27/2025,14:00,70.88,71.07,70.83,71.04,822400,542757
05/27/2025,14:15,71.03,71.15,70.95,71.05,717725,588651
05/27/2025,14:30,71.05,71.08,70.80,70.90,992540,747911
05/27/2025,14:45,70.90,70.96,70.73,70.79,597709,814302
05/27/2025,15:00,70.78,70.88,70.70,70.72,474421,565248
05/27/2025,15:15,70.71,70.77,70.59,70.63,695279,837271
05/27/2025,15:30,70.63,70.78,70.59,70.65,540272,484756
05/27/2025,15:45,70.66,70.74,70.44,70.68,822286,818546
05/27/2025,16:00,70.67,70.97,70.51,70.94,2286727,2161531
05/28/2025,09:45,71.34,71.94,71.21,71.72,2679183,2133447
05/28/2025,10:00,71.72,71.75,70.82,70.96,2092639,2425350
05/28/2025,10:15,70.96,71.16,70.86,71.01,1402106,1330685
05/28/2025,10:30,71.01,71.09,70.69,70.85,1239639,1219420
05/28/2025,10:45,70.85,70.92,70.62,70.77,1115312,1071427
05/28/2025,11:00,70.76,70.87,70.56,70.63,728592,950222
05/28/2025,11:15,70.62,70.98,70.57,70.67,952722,799353
05/28/2025,11:30,70.68,71.06,70.68,70.88,843870,831977
05/28/2025,11:45,70.87,70.97,70.71,70.80,804875,823051
05/28/2025,12:00,70.81,70.93,70.64,70.66,486140,595036
05/28/2025,12:15,70.67,71.04,70.66,70.97,709306,551922
05/28/2025,12:30,70.97,71.05,70.89,70.98,443240,466148
05/28/2025,12:45,70.98,71.10,70.93,70.98,394538,441682
05/28/2025,13:00,70.99,71.04,70.82,70.95,382774,451004
05/28/2025,13:15,70.93,71.16,70.89,71.04,738455,640107
05/28/2025,13:30,71.04,71.19,70.96,71.07,674089,601083
05/28/2025,13:45,71.06,71.09,70.86,70.93,410234,606266
05/28/2025,14:00,70.94,71.08,70.91,70.99,411615,351209
05/28/2025,14:15,71.00,71.31,70.98,71.24,1068464,725672
05/28/2025,14:30,71.24,71.25,71.00,71.10,523604,624831
05/28/2025,14:45,71.09,71.22,71.08,71.15,413005,473937
05/28/2025,15:00,71.15,71.18,70.31,70.98,1535780,1859149
05/28/2025,15:15,70.97,71.42,70.89,71.13,1349957,1150129
05/28/2025,15:30,71.12,71.20,70.79,70.87,794063,856134
05/28/2025,15:45,70.86,70.91,70.36,70.48,1159428,1399214
05/28/2025,16:00,70.49,70.65,69.78,70.02,2282120,2589103
05/29/2025,09:45,73.00,73.06,71.50,71.53,3673683,4516743
05/29/2025,10:00,71.54,71.85,71.13,71.47,3154759,3199111
05/29/2025,10:15,71.46,71.62,70.26,70.66,2957914,3449245
05/29/2025,10:30,70.65,70.91,70.11,70.86,2344843,2262987
05/29/2025,10:45,70.85,71.04,70.60,70.85,1702378,1565151
05/29/2025,11:00,70.85,71.50,70.79,71.44,1603699,1395788
05/29/2025,11:15,71.44,71.47,70.89,70.91,1295655,1610366
05/29/2025,11:30,70.90,71.38,70.86,71.30,989973,912029
05/29/2025,11:45,71.29,71.33,70.55,70.72,1188103,1669679
05/29/2025,12:00,70.72,70.88,69.57,69.80,1696557,2150965
05/29/2025,12:15,69.79,70.38,69.33,70.37,2298486,2075675
05/29/2025,12:30,70.36,70.66,70.36,70.56,1031943,900077
05/29/2025,12:45,70.56,70.84,70.53,70.78,833920,775609
05/29/2025,13:00,70.78,71.00,70.55,70.85,796787,941909
05/29/2025,13:15,70.83,71.10,70.69,70.77,947223,811037
05/29/2025,13:30,70.77,70.80,70.38,70.45,916451,1179440
05/29/2025,13:45,70.45,70.65,70.30,70.37,825528,960467
05/29/2025,14:00,70.38,70.47,69.99,70.02,1036831,1198588
05/29/2025,14:15,70.02,70.35,70.00,70.24,858511,755633
05/29/2025,14:30,70.25,70.30,69.50,69.63,1229618,1595623
05/29/2025,14:45,69.63,70.18,69.62,70.09,1050281,950465
05/29/2025,15:00,70.10,70.28,69.79,69.93,1143923,1082351
05/29/2025,15:15,69.93,70.18,69.72,69.77,1134251,1239517
05/29/2025,15:30,69.76,70.37,69.70,70.00,1047362,981554
05/29/2025,15:45,70.02,70.26,70.01,70.15,857591,771707
05/29/2025,16:00,70.15,70.74,70.03,70.40,2913418,3025433
05/30/2025,09:45,70.13,70.20,69.27,69.31,1749551,2065603
05/30/2025,10:00,69.31,69.57,68.67,68.91,1814125,2053705
05/30/2025,10:15,68.90,70.13,68.88,69.99,2252213,1898784
05/30/2025,10:30,70.00,70.22,69.86,70.15,1113935,986851
05/30/2025,10:45,70.15,70.29,69.90,70.01,1141426,1225299
05/30/2025,11:00,70.02,70.18,69.77,69.86,1016201,1044781
05/30/2025,11:15,69.86,70.05,69.66,69.77,722574,781294
05/30/2025,11:30,69.78,70.08,69.49,69.99,922476,851060
05/30/2025,11:45,69.97,70.09,69.20,69.34,1156995,1347241
05/30/2025,12:00,69.33,69.78,69.23,69.54,922038,859585
05/30/2025,12:15,69.56,69.67,69.27,69.55,718016,777505
05/30/2025,12:30,69.55,69.59,67.93,68.08,1776682,2556616
05/30/2025,12:45,68.09,68.12,67.15,67.68,3180065,3328515
05/30/2025,13:00,67.68,67.76,67.04,67.43,1494219,1659880
05/30/2025,13:15,67.43,68.23,67.26,67.97,2162996,1835754
05/30/2025,13:30,67.97,68.15,67.74,68.08,1347725,1196221
05/30/2025,13:45,68.08,68.39,68.00,68.12,1176598,1034323
05/30/2025,14:00,68.11,68.46,67.96,68.10,999234,997600
05/30/2025,14:15,68.10,68.76,68.09,68.69,1303393,1069531
05/30/2025,14:30,68.69,69.30,68.61,69.13,2127581,1723186
05/30/2025,14:45,69.13,69.26,68.94,69.00,953317,927188
05/30/2025,15:00,69.01,69.39,68.98,69.33,897529,890030
05/30/2025,15:15,69.32,69.89,69.29,69.72,1800289,1528605
05/30/2025,15:30,69.73,70.27,69.71,70.18,1713126,1352497
05/30/2025,15:45,70.18,70.36,69.78,69.96,1701682,1665796
05/30/2025,16:00,69.95,70.60,69.75,70.00,3779620,2985193
06/02/2025,09:45,69.20,70.88,69.20,70.53,2983833,2479728
06/02/2025,10:00,70.53,70.63,69.32,69.44,2172285,2510536
06/02/2025,10:15,69.41,69.62,68.69,69.44,2550476,2584669
06/02/2025,10:30,69.44,70.16,69.36,70.11,1693597,1659022
06/02/2025,10:45,70.10,70.49,69.81,69.99,1677954,1529031
06/02/2025,11:00,69.98,70.35,69.89,70.28,987493,885792
06/02/2025,11:15,70.27,70.47,69.88,70.29,1239901,1252298
06/02/2025,11:30,70.29,70.32,69.92,70.03,773177,819429
06/02/2025,11:45,70.04,70.32,69.89,70.28,806238,775602
06/02/2025,12:00,70.28,70.74,70.23,70.64,1266968,980303
06/02/2025,12:15,70.64,70.68,70.40,70.62,779733,751920
06/02/2025,12:30,70.63,70.72,70.40,70.53,811265,692429
06/02/2025,12:45,70.51,70.68,70.33,70.38,498163,571473
06/02/2025,13:00,70.36,70.84,70.36,70.76,775244,511740
06/02/2025,13:15,70.77,71.03,70.74,70.82,1164096,798493
06/02/2025,13:30,70.82,70.94,70.72,70.78,620238,699014
06/02/2025,13:45,70.78,70.92,70.68,70.73,481915,413108
06/02/2025,14:00,70.73,70.82,70.56,70.77,714088,648552
06/02/2025,14:15,70.76,70.97,70.59,70.92,910650,829334
06/02/2025,14:30,70.92,71.41,70.92,71.38,1228832,963488
06/02/2025,14:45,71.37,71.45,71.21,71.35,824436,871799
06/02/2025,15:00,71.35,71.54,71.26,71.47,783634,614952
06/02/2025,15:15,71.46,71.58,71.42,71.47,618244,626372
06/02/2025,15:30,71.46,71.72,71.36,71.61,1031984,914075
06/02/2025,15:45,71.61,71.61,71.33,71.40,880255,983359
06/02/2025,16:00,71.39,71.67,71.25,71.62,1981893,1831130
06/03/2025,09:45,71.75,72.25,71.40,71.95,2540733,2224039
06/03/2025,10:00,71.94,72.36,71.89,72.20,1701607,1508166
06/03/2025,10:15,72.22,72.68,71.89,72.36,2525974,2185655
06/03/2025,10:30,72.35,72.59,72.28,72.52,1030395,924702
